"","responseid","x","q55_1","q55_2","q55_3","q55_4","q55_5","q55_6","q55_7","hightemp","x.x","q55_13","q55_14","q55_15","q55_16","q55_17","q55_18","q55_19","q55_20","solitaryt","x.y","q55_8","q55_9","q55_10","q55_11","q55_12","socialt","q53_97","q53_98","q53_93","q53_99","q53_100","q53_101","q53_102","q53_104","q53_89","q53_91","q53_86","q53_79","q53_77","q53_94","q53_75","q53_73","q53_71","q53_69","avoidance","q53_1","q53_70","q53_72","q53_74","q53_76","q53_78","q53_80","q53_81","q53_82","q53_83","q53_84","q53_85","q53_87","q53_88","q53_90","q53_92","q53_95","q53_96","anxiety","STRAQ","anxiety2","avoidance2","wellbeing","anxious","selfesteem","selfdiscipline","loneliness","sdo2","rightprej","impulsive","thoughtful","trusting","rwa2","stimulation","sociable","leader","empathic"
"1","R_0PATH52UaEbiD4J",182,2,1,1,2,2,4,2,2,182,5,3,4,4,4,4,5,4,4.125,182,3,4,4,4,4,3.8,5,5,5,5,5,NA,5,5,5,3,3,5,3,5,3,4,3,5,NA,6,4,5,3,5,6,5,5,5,5,6,5,5,4,3,4,5,5,4.77777777777778,4,4.75,NA,2.96666666666667,3.2,2.83333333333333,2.61111111111111,3.38888888888889,6.18181818181818,3.47368421052632,3.07692307692308,3.27272727272727,3.2,2.73333333333333,2.8,4,3.46153846153846,4.07142857142857
"2","R_0qDDXp1OVQ1aqyZ",215,3,2,4,5,5,4,3,3.71428571428571,215,4,2,4,5,5,2,4,2,3.5,215,1,1,1,2,2,1.4,1,1,1,1,1,1,1,1,5,1,1,1,1,2,1,1,2,1,1.33333333333333,5,6,1,1,1,5,1,4,7,1,5,1,3,1,6,6,6,1,3.38888888888889,2.55,3.375,1.33333333333333,3.4,2.9,2.16666666666667,3,3.72222222222222,4.90909090909091,5,1.76923076923077,1.72727272727273,2.6,1.93333333333333,2.4,4,2.30769230769231,4.42857142857143
"3","R_10NNDewHGkEbZFJ",27,3,2,2,3,4,3,2,2.71428571428571,27,4,3,4,4,4,5,5,5,4.25,27,3,5,4,5,5,4.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,7,5,6,4,6,1,7,1,5,5,1,3,5,1,4.27777777777778,3.95,4.4375,1,4.33333333333333,2.3,1.22222222222222,3.5,3.27777777777778,6.09090909090909,5.10526315789474,3.15384615384615,3.36363636363636,4.2,4.06666666666667,4.2,4.22222222222222,4.23076923076923,4.14285714285714
"4","R_10pcwBzjGJmc7pR",196,3,3,3,4,4,3,4,3.42857142857143,196,4,1,2,2,2,2,4,3,2.5,196,3,4,2,1,2,2.4,2,6,6,3,5,2,2,2,4,6,2,5,3,2,2,4,3,4,3.5,5,6,6,2,6,6,4,4,5,5,6,4,4,3,4,2,6,2,4.44444444444444,2.5,4.5,3.5,2.96666666666667,4,2.22222222222222,2.5,3.05555555555556,5.54545454545455,2.52631578947368,4.46153846153846,2.45454545454545,2.8,1.6,4.4,2.33333333333333,3.30769230769231,5.07142857142857
"5","R_10pzWCCFjzQ6vIv",49,3,2,3,5,5,4,1,3.28571428571429,49,5,1,5,5,5,5,3,3,4,49,4,4,5,5,5,4.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,5,3,1,2,2,1,6,1,2,1,1,2,4,1,2.05555555555556,3.7,2,1,2.8,3,2.72222222222222,3.83333333333333,3.66666666666667,5.36363636363636,3.21052631578947,3.69230769230769,2.72727272727273,3.8,1.2,4.4,4.44444444444444,3.69230769230769,4.78571428571429
"6","R_11ckfxgnOWIA9yw",52,4,1,2,4,3,4,2,2.85714285714286,52,5,2,5,3,3,5,5,5,4.125,52,1,4,2,4,4,3,3,1,2,1,1,3,1,1,6,2,1,1,1,2,2,2,1,2,1.83333333333333,5,3,1,3,5,2,5,2,2,1,4,2,2,2,3,5,6,1,3,3.5,2.9375,1.83333333333333,2.5,3.2,3,3.66666666666667,3.5,6.36363636363636,3.42105263157895,4.84615384615385,2.63636363636364,3.6,2.46666666666667,4.2,3.55555555555556,2.76923076923077,4.92857142857143
"7","R_12AqEAR5QOIxdsC",194,4,1,5,5,5,4,3,3.85714285714286,194,4,2,4,1,4,4,5,4,3.5,194,1,3,3,5,4,3.2,5,3,2,2,2,5,1,3,2,2,3,2,2,1,2,2,1,3,2.38888888888889,5,3,2,2,5,5,3,6,3,2,3,2,5,1,5,5,3,2,3.44444444444444,2.95,3.5625,2.38888888888889,2.76666666666667,3.4,3,2.66666666666667,3.44444444444444,6.72727272727273,2.73684210526316,3.61538461538462,2.90909090909091,3.4,2,3.6,3.55555555555556,1.84615384615385,4.85714285714286
"8","R_1CDfmIk47Xy4DmR",167,4,4,5,4,1,2,4,3.42857142857143,167,2,1,4,2,2,1,4,1,2.125,167,4,2,5,4,4,3.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,6,3,1,1,1,1,3,2,1,1,1,1,1,1,1.61111111111111,2.7,1.6875,1,4.16666666666667,1.6,1.22222222222222,4.55555555555556,3.83333333333333,6.72727272727273,2.36842105263158,3.53846153846154,3.27272727272727,4.4,2.26666666666667,4.4,4.44444444444444,3.53846153846154,4.85714285714286
"9","R_1CEdibqdLEPhKZf",243,5,1,2,2,2,4,2,2.57142857142857,243,5,4,4,4,4,5,4,4,4.25,243,2,4,2,1,4,2.6,2,2,7,1,2,1,1,2,6,2,1,1,2,2,7,3,2,3,2.61111111111111,7,7,2,6,7,7,7,7,7,5,7,5,4,5,7,7,7,1,5.83333333333333,3.55,6.0625,2.61111111111111,2.13333333333333,3.2,2.72222222222222,2.33333333333333,2.72222222222222,5.90909090909091,3.68421052631579,2.38461538461538,3.72727272727273,1.6,1.4,4.2,3.33333333333333,3.61538461538462,5.07142857142857
"10","R_1CHMAVl4ao9Q8PM",69,2,1,2,2,1,2,2,1.71428571428571,69,2,2,1,4,4,4,3,3,2.875,69,2,5,3,4,5,3.8,2,1,3,5,3,1,1,5,3,1,2,1,1,1,7,3,2,3,2.5,7,7,7,3,7,7,7,7,7,7,7,7,4,7,7,5,7,2,6.22222222222222,3.6,6.4375,2.5,3.06666666666667,3.5,4,2.27777777777778,3.11111111111111,6.45454545454545,1.94736842105263,3.30769230769231,2.90909090909091,1.2,1.53333333333333,3.2,2.55555555555556,2.46153846153846,4.5
