"","responseid","RMTQ","OPEN","CONSC","EXTRA","AGREE","NEURO","specism","RSE","selfcontrol","hightemp","socialt","solitaryt","riska","anxiety","avoidance","stress","socialdiversity","networksize","socialembedded","prejafr","rwa","lonely","SDO","DASS","WEMWBS","OVP","intuition","anxiety2","avoidance2","wellbeing","anxious","selfesteem","selfdiscipline","loneliness","sdo2","rightprej","impulsive","thoughtful","trusting","rwa2","stimulation","sociable","leader","empathic","STRAQ"
"1","R_0PATH52UaEbiD4J",2.77777777777778,3.375,2.875,3.91304347826087,3.70833333333333,3.45833333333333,2.5,2.3,3.46153846153846,2,3.8,4.125,3.33333333333333,4.77777777777778,NA,2.92857142857143,7,21,6,3.6,2.65,3.4,5.8125,2.5,3.5,2.75,5.75,4.75,NA,2.96666666666667,3.2,2.83333333333333,2.61111111111111,3.38888888888889,6.18181818181818,3.47368421052632,3.07692307692308,3.27272727272727,3.2,2.73333333333333,2.8,4,3.46153846153846,4.07142857142857,4
"2","R_0qDDXp1OVQ1aqyZ",2.11111111111111,2.95833333333333,2.45833333333333,3.60869565217391,3.25,3.66666666666667,2.33333333333333,1.9,3.76923076923077,3.71428571428571,1.4,3.5,3.33333333333333,3.38888888888889,1.33333333333333,2.92857142857143,7,27,5,5.13333333333333,2.45,3.75,4.9375,1,3.78571428571429,2.3125,6.25,3.375,1.33333333333333,3.4,2.9,2.16666666666667,3,3.72222222222222,4.90909090909091,5,1.76923076923077,1.72727272727273,2.6,1.93333333333333,2.4,4,2.30769230769231,4.42857142857143,2.55
"3","R_10NNDewHGkEbZFJ",2.66666666666667,3.66666666666667,3.95833333333333,4.1304347826087,4.125,2.66666666666667,2.16666666666667,1.4,2.92307692307692,2.71428571428571,4.4,4.25,3.66666666666667,4.27777777777778,1,4.21428571428571,7,24,5,5.2,3.8,3.25,5.3125,1,4.78571428571429,3.4375,7.75,4.4375,1,4.33333333333333,2.3,1.22222222222222,3.5,3.27777777777778,6.09090909090909,5.10526315789474,3.15384615384615,3.36363636363636,4.2,4.06666666666667,4.2,4.22222222222222,4.23076923076923,4.14285714285714,3.95
"4","R_10pcwBzjGJmc7pR",2.55555555555556,3.91666666666667,3.29166666666667,3.08695652173913,4.16666666666667,3.08333333333333,1,2.1,3,3.42857142857143,2.4,2.5,4.33333333333333,4.44444444444444,3.5,2.57142857142857,5,22,7,2.6,1.85,3,5.4375,2.45,3.71428571428571,2.0625,7,4.5,3.5,2.96666666666667,4,2.22222222222222,2.5,3.05555555555556,5.54545454545455,2.52631578947368,4.46153846153846,2.45454545454545,2.8,1.6,4.4,2.33333333333333,3.30769230769231,5.07142857142857,2.5
"5","R_10pzWCCFjzQ6vIv",2.5,3.375,4.08333333333333,3.91304347826087,4.125,3.08333333333333,1.66666666666667,2.5,2.61538461538462,3.28571428571429,4.6,4,4.66666666666667,2.05555555555556,1,2.14285714285714,6,22,7,3.33333333333333,1.45,3.7,5.4375,1.95,3.14285714285714,2.6875,7.5,2,1,2.8,3,2.72222222222222,3.83333333333333,3.66666666666667,5.36363636363636,3.21052631578947,3.69230769230769,2.72727272727273,3.8,1.2,4.4,4.44444444444444,3.69230769230769,4.78571428571429,3.7
"6","R_11ckfxgnOWIA9yw",2.22222222222222,3.45833333333333,3.95833333333333,2.95652173913043,4.33333333333333,2.54166666666667,2.66666666666667,2.6,2.38461538461538,2.85714285714286,3,4.125,2.66666666666667,3,1.83333333333333,2.78571428571429,6,13,6,3.73333333333333,2.6,3.4,6.4375,2.7,2.64285714285714,2.75,4,2.9375,1.83333333333333,2.5,3.2,3,3.66666666666667,3.5,6.36363636363636,3.42105263157895,4.84615384615385,2.63636363636364,3.6,2.46666666666667,4.2,3.55555555555556,2.76923076923077,4.92857142857143,3.5
"7","R_12AqEAR5QOIxdsC",2.5,3.95833333333333,2.54166666666667,3.17391304347826,4.29166666666667,3.29166666666667,1.66666666666667,2.9,2.84615384615385,3.85714285714286,3.2,3.5,3.33333333333333,3.44444444444444,2.38888888888889,2.35714285714286,6,33,7,3,2.3,3.45,6.75,2.5,3.28571428571429,2.5625,4.5,3.5625,2.38888888888889,2.76666666666667,3.4,3,2.66666666666667,3.44444444444444,6.72727272727273,2.73684210526316,3.61538461538462,2.90909090909091,3.4,2,3.6,3.55555555555556,1.84615384615385,4.85714285714286,2.95
"8","R_1CDfmIk47Xy4DmR",3.05555555555556,3.91666666666667,4.20833333333333,4,4.70833333333333,2.16666666666667,2,1.1,2.07692307692308,3.42857142857143,3.8,2.125,2,1.61111111111111,1,4.07142857142857,6,18,6,2.2,2.35,3.85,6.6875,1.1,4.5,3.4375,2.75,1.6875,1,4.16666666666667,1.6,1.22222222222222,4.55555555555556,3.83333333333333,6.72727272727273,2.36842105263158,3.53846153846154,3.27272727272727,4.4,2.26666666666667,4.4,4.44444444444444,3.53846153846154,4.85714285714286,2.7
"9","R_1CEdibqdLEPhKZf",3.11111111111111,3.70833333333333,2.91666666666667,3.52173913043478,3.91666666666667,3.58333333333333,1.66666666666667,2.3,3,2.57142857142857,2.6,4.25,4.33333333333333,5.83333333333333,2.61111111111111,2.21428571428571,5,14,5,3.8,1.5,2.75,6.0625,3.05,3.07142857142857,2.1875,6.5,6.0625,2.61111111111111,2.13333333333333,3.2,2.72222222222222,2.33333333333333,2.72222222222222,5.90909090909091,3.68421052631579,2.38461538461538,3.72727272727273,1.6,1.4,4.2,3.33333333333333,3.61538461538462,5.07142857142857,3.55
"10","R_1CHMAVl4ao9Q8PM",2.44444444444444,4,2.58333333333333,3.17391304347826,3.45833333333333,3.66666666666667,1,3.7,3.76923076923077,1.71428571428571,3.8,2.875,3.66666666666667,6.22222222222222,2.5,3.14285714285714,6,28,6,2,1.65,3,6.625,2.45,3.07142857142857,2,4.75,6.4375,2.5,3.06666666666667,3.5,4,2.27777777777778,3.11111111111111,6.45454545454545,1.94736842105263,3.30769230769231,2.90909090909091,1.2,1.53333333333333,3.2,2.55555555555556,2.46153846153846,4.5,3.6
"11","R_1CjerfUxFljTQKX",2.55555555555556,4.79166666666667,3.79166666666667,2.95652173913043,3.95833333333333,4.08333333333333,1.33333333333333,2.7,3.30769230769231,3.28571428571429,4.2,3.375,3,5.94444444444444,3.94444444444444,2.28571428571429,6,18,4,2.4,1.7,2.65,5.3125,3.2,2.64285714285714,1.9375,7,6.125,3.94444444444444,2.13333333333333,4.1,3.27777777777778,3.22222222222222,2.83333333333333,4.90909090909091,2.21052631578947,3.69230769230769,3.36363636363636,1.8,1.53333333333333,5,2,3.46153846153846,5,3.35
"12","R_1cYpBcolxz96Lf4",2.44444444444444,2.79166666666667,3.75,3.73913043478261,4.54166666666667,2.08333333333333,2,1.4,1.84615384615385,3.28571428571429,4,4.125,4.33333333333333,2.72222222222222,1.44444444444444,3.35714285714286,8,42,5,3.8,3.45,3.85,5.6875,1.35,4,3.4375,7.5,2.875,1.44444444444444,3.73333333333333,1.9,1.44444444444444,3.88888888888889,3.88888888888889,5.45454545454545,3.73684210526316,4.53846153846154,2.18181818181818,4.2,3.8,3.2,3.88888888888889,3.46153846153846,4.85714285714286,3.6
"13","R_1dGZna3ZyWeIEtY",2.77777777777778,4,3.25,4.04347826086957,3.70833333333333,2.66666666666667,2.5,1.6,3.69230769230769,2.28571428571429,2.4,4,1.66666666666667,2.61111111111111,1.88888888888889,3.64285714285714,7,27,6,2.46666666666667,1.95,3.65,5.9375,1.75,3.78571428571429,2.75,8,2.375,1.88888888888889,3.73333333333333,1.8,1.72222222222222,2.94444444444444,3.61111111111111,6,2.52631578947368,2.38461538461538,4.09090909090909,3.4,1.8,4.2,3.88888888888889,3.92307692307692,4.14285714285714,3.5
"14","R_1dM2oQRCFR0NZh9",2.33333333333333,3.5,2.83333333333333,2.47826086956522,3.20833333333333,2.95833333333333,1.16666666666667,2.8,3.23076923076923,1.85714285714286,1,4,4,2.94444444444444,4.88888888888889,2.21428571428571,7,25,5,1.53333333333333,1.8,2.45,6.1875,2.5,3.28571428571429,1.625,9,2.9375,4.88888888888889,2.63333333333333,2.6,2.88888888888889,2.33333333333333,2.38888888888889,6.27272727272727,1.52631578947368,4,3.18181818181818,2.2,1.53333333333333,4.2,2,3.38461538461538,2.92857142857143,3.3
"15","R_1Dq05z3c9915bL0",2.66666666666667,3.91666666666667,3.125,3.30434782608696,4.33333333333333,3.125,1.83333333333333,2,2.61538461538462,1.85714285714286,3.8,4.5,4.33333333333333,3.72222222222222,2.27777777777778,2.71428571428571,6,17,6,2.73333333333333,1.95,3.3,6.25,1.9,3.07142857142857,2.5625,5,3.6875,2.27777777777778,2.93333333333333,2.6,2.72222222222222,2.55555555555556,3.33333333333333,6.09090909090909,2.57894736842105,4.23076923076923,3.27272727272727,3.2,1.53333333333333,3.8,3.66666666666667,2.76923076923077,4.85714285714286,4.2
